"year_published","latest","possibly_extinct","possibly_extinct_in_the_wild","sis_taxon_id","url","taxon_scientific_name","red_list_category_code","assessment_id","kingdom","phylum","class","order","family","genus","species","scope_description","endemic"
"2024",TRUE,FALSE,FALSE,61450,"https://www.iucnredlist.org/species/61450/207661575","Ablepharus budaki","LC",207661575,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Ablepharus","budaki","Europe","no"
"2009",FALSE,FALSE,FALSE,61450,"https://www.iucnredlist.org/species/61450/12488208","Ablepharus budaki","LC",12488208,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Ablepharus","budaki","Europe","no"
"2024",TRUE,FALSE,FALSE,29691,"https://www.iucnredlist.org/species/29691/207989721","Ablepharus kitaibelii","LC",207989721,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Ablepharus","kitaibelii","Europe","no"
"2009",FALSE,FALSE,FALSE,29691,"https://www.iucnredlist.org/species/29691/9526826","Ablepharus kitaibelii","LC",9526826,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","SCINCIDAE","Ablepharus","kitaibelii","Europe","no"
"2025",TRUE,FALSE,FALSE,224265973,"https://www.iucnredlist.org/species/224265973/137845650","Acanthodactylus erythrurus","LC",137845650,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","erythrurus","Global; Mediterranean","yes"
"2025",TRUE,FALSE,FALSE,224265973,"https://www.iucnredlist.org/species/224265973/137845650","Acanthodactylus erythrurus","LC",137845650,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","erythrurus","Global; Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,224265973,"https://www.iucnredlist.org/species/224265973/285395463","Acanthodactylus erythrurus","LC",285395463,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","erythrurus","Europe","no"
"2009",FALSE,FALSE,FALSE,224265973,"https://www.iucnredlist.org/species/224265973/285395673","Acanthodactylus erythrurus","LC",285395673,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","erythrurus","Europe","no"
"2024",TRUE,FALSE,FALSE,222350753,"https://www.iucnredlist.org/species/222350753/207990075","Acanthodactylus schreiberi","LC",207990075,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","schreiberi","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,222350753,"https://www.iucnredlist.org/species/222350753/207990075","Acanthodactylus schreiberi","LC",207990075,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","schreiberi","Mediterranean","yes"
"2024",TRUE,FALSE,FALSE,222350753,"https://www.iucnredlist.org/species/222350753/207990075","Acanthodactylus schreiberi","LC",207990075,"ANIMALIA","CHORDATA","REPTILIA","SQUAMATA","LACERTIDAE","Acanthodactylus","schreiberi","Mediterranean","yes"
