year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description,endemicEU,RealAssessmentYN,Comments
2024,TRUE,FALSE,FALSE,61450,https://www.iucnredlist.org/species/61450/207661575,Ablepharus budaki,LC,207661575,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,budaki,Europe,N,Y,
2009,FALSE,FALSE,FALSE,61450,https://www.iucnredlist.org/species/61450/12488208,Ablepharus budaki,LC,12488208,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,budaki,Europe,N,Y,
2024,TRUE,FALSE,FALSE,29691,https://www.iucnredlist.org/species/29691/207989721,Ablepharus kitaibelii,LC,207989721,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,kitaibelii,Europe,N,Y,
2009,FALSE,FALSE,FALSE,29691,https://www.iucnredlist.org/species/29691/9526826,Ablepharus kitaibelii,LC,9526826,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,SCINCIDAE,Ablepharus,kitaibelii,Europe,N,Y,
2024,TRUE,FALSE,FALSE,224265973,https://www.iucnredlist.org/species/224265973/285395463,Acanthodactylus erythrurus,LC,285395463,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,erythrurus,Europe,N,Y,
2009,FALSE,FALSE,FALSE,224265973,https://www.iucnredlist.org/species/224265973/285395673,Acanthodactylus erythrurus,LC,285395673,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Acanthodactylus,erythrurus,Europe,N,Y,
2009,FALSE,FALSE,FALSE,61464,https://www.iucnredlist.org/species/61464/12489532,Algyroides fitzingeri,LC,12489532,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,fitzingeri,Europe; Global,Y,Y,
2006,FALSE,FALSE,FALSE,61464,https://www.iucnredlist.org/species/61464/12489658,Algyroides fitzingeri,LC,12489658,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,fitzingeri,Europe; Global,Y,Y,
2009,FALSE,FALSE,FALSE,840,https://www.iucnredlist.org/species/840/13082975,Algyroides hidalgoi,EN,13082975,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,hidalgoi,Europe; Global,Y,Y,
2006,FALSE,FALSE,FALSE,840,https://www.iucnredlist.org/species/840/13083101,Algyroides hidalgoi,EN,13083101,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,hidalgoi,Europe; Global,Y,Y,
1996,FALSE,FALSE,FALSE,840,https://www.iucnredlist.org/species/840/13082954,Algyroides hidalgoi,VU,13082954,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,hidalgoi,Europe; Global,Y,Y,
2009,FALSE,FALSE,FALSE,61465,https://www.iucnredlist.org/species/61465/12489765,Algyroides moreoticus,NT,12489765,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,moreoticus,Europe; Global,Y,Y,
2006,FALSE,FALSE,FALSE,61465,https://www.iucnredlist.org/species/61465/12489903,Algyroides moreoticus,NT,12489903,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,moreoticus,Europe; Global,Y,Y,
2024,TRUE,FALSE,FALSE,61466,https://www.iucnredlist.org/species/61466/137846576,Algyroides nigropunctatus,LC,137846576,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,nigropunctatus,Europe; Global,Y,Y,
2009,FALSE,FALSE,FALSE,61466,https://www.iucnredlist.org/species/61466/12490013,Algyroides nigropunctatus,LC,12490013,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,nigropunctatus,Europe; Global,Y,Y,
2006,FALSE,FALSE,FALSE,61466,https://www.iucnredlist.org/species/61466/12490202,Algyroides nigropunctatus,LC,12490202,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,LACERTIDAE,Algyroides,nigropunctatus,Europe; Global,Y,Y,
2024,TRUE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/213192842,Alsophylax pipiens,NA,213192842,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Alsophylax,pipiens,Europe,N,Y,
2009,FALSE,FALSE,FALSE,157257,https://www.iucnredlist.org/species/157257/5062597,Alsophylax pipiens,NA,5062597,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,GEKKONIDAE,Alsophylax,pipiens,Europe,N,Y,
2024,TRUE,FALSE,FALSE,178592041,https://www.iucnredlist.org/species/178592041/228179002,Alytes almogavarii,LC,228179002,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,almogavarii,Europe; Global,N,Y?,
2022,FALSE,FALSE,FALSE,178592041,https://www.iucnredlist.org/species/178592041/194374646,Alytes almogavarii,LC,194374646,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,almogavarii,Europe; Global,N,Y?,
2024,TRUE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/207980155,Alytes cisternasii,LC,207980155,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Europe; Global; Mediterranean,Y,Y,
2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/267243692,Alytes cisternasii,LC,267243692,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Europe; Global; Mediterranean,Y,N?,An errata assessment was created in order to add the 'Mediterranean' scope to the assessment of this species that is endemic to the IUCN Mediterranean Red List assessment area.
2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/45059928,Alytes cisternasii,LC,45059928,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Europe; Global,Y,N?,"Is this the ""wrong"" version that was eventually corrected by assessment 267243692?"
2009,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/11283060,Alytes cisternasii,NT,11283060,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Europe; Global,Y,Y,Same assessment as 11283257 but different criteria
