genus,species
Alytes,cisternasii
Alytes,dickhilleni
Alytes,muletensis
Alytes,obstetricans
Alytes,almogavarii
Aquarana ,catesbeianus
Bombina,bombina
Bombina,variegata
Bufo,bufo
Bufo,spinosus
Bufotes,balearicus
Bufotes,boulengeri
Bufotes,cypriensis
Bufotes,viridis
Calotriton,arnoldi
Calotriton,asper
Chioglossa,lusitanica
Discoglossus,galganoi
Discoglossus,montalentii
Discoglossus,pictus
Discoglossus,sardus
Epidalea,calamita
Euproctus,montanus
Euproctus,platycephalus
Hyla,arborea
Hyla,intermedia
Hyla,meridionalis
Hyla,sarda
Hyla,savignyi
Hyla,molleri
Hyla,orientalis
Lissotriton,boscai
Lissotriton,helveticus
Lissotriton,italicus
Lissotriton,montandoni
Lissotriton,vulgaris
Lissotriton,graecus
Lissotriton,maltzani
Lyciasalamandra,helverseni
Lyciasalamandra,luschani
Mesotriton,alpestris
Pelobates,cultripes
Pelobates,fuscus
Pelobates,syriacus
Pelobates,balcanicus
Pelobates,vespertinus
Pelodytes,ibericus
Pelodytes,punctatus
Pelodytes,atlanticus
Pelophylax,bedriagae
Pelophylax,cerigensis
Pelophylax,cretensis
Pelophylax,epeiroticus
Pelophylax,kurtmuelleri
Pelophylax,lessonae
Pelophylax,perezi
Pelophylax,ridibundus
Pelophylax,saharicus
Pelophylax,shqipericus
Pleurodeles,waltl
Proteus,anguinus
Rana,arvalis
Rana,dalmatina
Rana,graeca
Rana,iberica
Rana,italica
Rana,latastei
Rana,pyrenaica
Rana,temporaria
Rana,parvipalmata
Salamandra,atra
Salamandra,corsica
Salamandra,lanzai
Salamandra,salamandra
Salamandrella,keyserlingii
Salamandrina,perspicillata
Salamandrina,terdigitata
Sclerophrys ,mauritanica
Speleomantes,genei
Speleomantes,ambrosii
Speleomantes,flavus
Speleomantes,imperialis
Speleomantes,italicus
Speleomantes,sarrabusensis
Speleomantes,strinatii
Speleomantes,supramontis
Triturus,carnifex
Triturus,cristatus
Triturus,dobrogicus
Triturus,karelinii
Triturus,marmoratus
Triturus,pygmaeus
Triturus,ivanbureschi
Triturus,macedonicus
Xenopus,laevis
