genus,species
Ablepharus,budaki
Ablepharus,kitaibelii
Acanthodactylus,erythrurus
Acanthodactylus,schreiberi
Algyroides,fitzingeri
Algyroides,hidalgoi
Algyroides,moreoticus
Algyroides,nigropunctatus
Alsophylax,pipiens
Anatololacerta,anatolica
Anatololacerta,finikensis
Anatololacerta,pelasgiana
Anguis,fragilis
Anguis,graeca
Anguis,veronensis
Anguis ,cephallonica
Archaeolacerta,bedriagae
Blanus,cinereus
Blanus,strauchi
Chalcides,bedriagai
Chalcides,chalcides
Chalcides,ocellatus
Chalcides,parallelus
Chalcides,sexlineatus
Chalcides,simonyi
Chalcides,striatus
Chalcides,viridanus
Chalcides,coeruleopunctatus
Chamaeleo,africanus
Chamaeleo,chamaeleon
Coronella,austriaca
Coronella,girondica
Dalmatolacerta,oxycephala
Darevskia,praticola
Darevskia,lindholmi
Dinarolacerta,mosorensis
Dinarolacerta,montenegrina
Dolichophis,caspius
Dolichophis,jugularis
Eirenis,modestus
Eirenis,levantinus
Elaphe,dione
Elaphe,quatuorlineata
Elaphe,sauromates
Elaphe,schrenckii
Emys,orbicularis
Emys,trinacris
Eremias,arguta
Eremias,velox
Eryx,jaculus
Eryx,miliaris
Euleptes,europaea
Eumeces,schneiderii
Gallotia,atlantica
Gallotia,bravoana
Gallotia,caesaris
Gallotia,galloti
Gallotia,intermedia
Gallotia,simonyi
Gallotia,stehlini
Gloydius,halys
Hellenolacerta,graeca
Hemidactylus,turcicus
Hemorrhois,hippocrepis
Hemorrhois,nummifer
Hemorrhois,ravergieri
Hemorrhois,algirus
Heremites,auratus
Heremites,vittatus
Hierophis,cypriensis
Hierophis,gemonensis
Hierophis,viridiflavus
Iberolacerta,aranica
Iberolacerta,aurelioi
Iberolacerta,bonnali
Iberolacerta,cyreni
Iberolacerta,galani
Iberolacerta,horvathi
Iberolacerta,martinezricai
Iberolacerta,monticola
Indotyphlops,braminus
Lacerta,agilis
Lacerta,bilineata
Lacerta,schreiberi
Lacerta,strigata
Lacerta,trilineata
Lacerta,viridis
Lacerta,citrovittata
Lacerta,diplochondrodes
Lampropeltis ,californiae
Laudakia,stellio
Macroprotodon,brevis
Macroprotodon,cucullatus
