genus,species
Macrovipera,lebetinus
Macrovipera,schweizeri
Malpolon,insignitus
Malpolon,monspessulanus
Mauremys,leprosa
Mauremys,rivulata
Mauremys,caspica
Mediodactylus,bartoni
Mediodactylus,danilewskii
Mediodactylus,kotschyi
Mediodactylus,oertzeni
Mediodactylus,orientalis
Montivipera,xanthina
Natrix,maura
Natrix,natrix
Natrix,tessellata
Natrix,astreptophora
Natrix,helvetica
Ophiomorus,punctatissimus
Ophiomorus,kardesi
Ophisops,elegans
Parvilacerta,parva
Phoenicolacerta,troodica
Phrynocephalus,guttatus
Phrynocephalus,helioscopus
Phrynocephalus,mystaceus
Platyceps,collaris
Platyceps,najadum
Podarcis,bocagei
Podarcis,carbonelli
Podarcis,cretensis
Podarcis,erhardii
Podarcis,filfolensis
Podarcis,gaigeae
Podarcis,hispanicus
Podarcis,levendis
Podarcis,lilfordi
Podarcis,melisellensis
Podarcis,milensis
Podarcis,muralis
Podarcis,peloponnesiacus
Podarcis,pityusensis
Podarcis,raffonei
Podarcis,siculus
Podarcis,tauricus
Podarcis,tiliguerta
Podarcis,vaucheri
Podarcis,waglerianus
Podarcis,guadarramae
Podarcis,ionicus
Podarcis,liolepis
Podarcis,virescens
Psammodromus,blanci
Psammodromus,hispanicus
Psammodromus,algirus
Psammodromus,edwarsianus
Psammodromus,occidentalis
Pseudopus,apodus
Saurodactylus,mauritanicus
Scelarcis,perspicillata
Tarentola,angustimentalis
Tarentola,boettgeri
Tarentola,delalandii
Tarentola,gomerensis
Tarentola,mauritanica
Teira,dugesii
Telescopus,fallax
Tenuidactylus,bogdanovi
Tenuidactylus,caspius
Testudo,graeca
Testudo,hermanni
Testudo,marginata
Timon,lepidus
Timon,tangitanus
Timon,nevadensis
Trachemys,scripta
Trionyx,triunguis
Trogonophis,wiegmanni
Vipera,ammodytes
Vipera,aspis
Vipera,berus
Vipera,latastei
Vipera,renardi
Vipera,seoanei
Vipera,ursinii
Vipera,graeca
Xerotyphlops,vermicularis
Zamenis,hohenackeri
Zamenis,lineatus
Zamenis,longissimus
Zamenis,situla
Zamenis,scalaris
Zootoca,vivipara
Zootoca,carniolica
