,year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,kingdom,phylum,class,order,family,genus,species,scope_description
1,2024,TRUE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/207980155,Alytes cisternasii,LC,207980155,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe; Mediterranean
2,2024,TRUE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/207980155,Alytes cisternasii,LC,207980155,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe; Mediterranean
3,2024,TRUE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/207980155,Alytes cisternasii,LC,207980155,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe; Mediterranean
4,2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/267243692,Alytes cisternasii,LC,267243692,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe; Mediterranean
5,2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/45059928,Alytes cisternasii,LC,45059928,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe
6,2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/45059928,Alytes cisternasii,LC,45059928,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe
7,2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/267243692,Alytes cisternasii,LC,267243692,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe; Mediterranean
8,2020,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/267243692,Alytes cisternasii,LC,267243692,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe; Mediterranean
9,2009,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/11283060,Alytes cisternasii,NT,11283060,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe
10,2009,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/11283060,Alytes cisternasii,NT,11283060,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe
11,2004,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/11283257,Alytes cisternasii,NT,11283257,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe
12,2004,FALSE,FALSE,FALSE,55266,https://www.iucnredlist.org/species/55266/11283257,Alytes cisternasii,NT,11283257,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,cisternasii,Global; Europe
13,2024,TRUE,FALSE,FALSE,979,https://www.iucnredlist.org/species/979/228179357,Alytes dickhilleni,EN,228179357,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,dickhilleni,Global; Europe; Mediterranean
14,2024,TRUE,FALSE,FALSE,979,https://www.iucnredlist.org/species/979/228179357,Alytes dickhilleni,EN,228179357,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,dickhilleni,Global; Europe; Mediterranean
15,2024,TRUE,FALSE,FALSE,979,https://www.iucnredlist.org/species/979/228179357,Alytes dickhilleni,EN,228179357,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ALYTIDAE,Alytes,dickhilleni,Global; Europe; Mediterranean
