,year_published,latest,possibly_extinct,possibly_extinct_in_the_wild,sis_taxon_id,url,taxon_scientific_name,red_list_category_code,assessment_id,genus,species,scope_description
1,2024,TRUE,FALSE,FALSE,213773477,https://www.iucnredlist.org/species/213773477/252401941,Laudakia stellio,LC,252401941,Laudakia,stellio,Global
2,2024,TRUE,FALSE,FALSE,213773477,https://www.iucnredlist.org/species/213773477/204680547,Laudakia stellio,LC,204680547,Laudakia,stellio,Europe
3,2024,TRUE,FALSE,FALSE,157278,https://www.iucnredlist.org/species/157278/128895072,Phrynocephalus guttatus,LC,128895072,Phrynocephalus,guttatus,Europe
4,2017,TRUE,FALSE,FALSE,157278,https://www.iucnredlist.org/species/157278/747934,Phrynocephalus guttatus,LC,747934,Phrynocephalus,guttatus,Global
5,2009,FALSE,FALSE,FALSE,157278,https://www.iucnredlist.org/species/157278/5068551,Phrynocephalus guttatus,LC,5068551,Phrynocephalus,guttatus,Europe
6,2024,TRUE,FALSE,FALSE,48835941,https://www.iucnredlist.org/species/48835941/200006718,Phrynocephalus helioscopus,VU,200006718,Phrynocephalus,helioscopus,Europe
7,2019,TRUE,FALSE,FALSE,48835941,https://www.iucnredlist.org/species/48835941/48679076,Phrynocephalus helioscopus,LC,48679076,Phrynocephalus,helioscopus,Global
8,2024,TRUE,FALSE,FALSE,157250,https://www.iucnredlist.org/species/157250/204679413,Phrynocephalus mystaceus,LC,204679413,Phrynocephalus,mystaceus,Europe
9,2019,TRUE,FALSE,FALSE,157250,https://www.iucnredlist.org/species/157250/744631,Phrynocephalus mystaceus,LC,744631,Phrynocephalus,mystaceus,Global
10,2009,FALSE,FALSE,FALSE,157250,https://www.iucnredlist.org/species/157250/5060359,Phrynocephalus mystaceus,LC,5060359,Phrynocephalus,mystaceus,Europe
11,2024,TRUE,FALSE,FALSE,204702171,https://www.iucnredlist.org/species/204702171/137846946,Blanus cinereus,LC,137846946,Blanus,cinereus,Global; Europe; Mediterranean
12,2024,TRUE,FALSE,FALSE,204702171,https://www.iucnredlist.org/species/204702171/137846946,Blanus cinereus,LC,137846946,Blanus,cinereus,Global; Europe; Mediterranean
13,2024,TRUE,FALSE,FALSE,204702171,https://www.iucnredlist.org/species/204702171/137846946,Blanus cinereus,LC,137846946,Blanus,cinereus,Global; Europe; Mediterranean
14,2024,TRUE,FALSE,FALSE,200115910,https://www.iucnredlist.org/species/200115910/137861236,Blanus strauchi,LC,137861236,Blanus,strauchi,Global
15,2024,TRUE,FALSE,FALSE,200115910,https://www.iucnredlist.org/species/200115910/266891444,Blanus strauchi,LC,266891444,Blanus,strauchi,Europe
16,2009,FALSE,FALSE,FALSE,200115910,https://www.iucnredlist.org/species/200115910/266891311,Blanus strauchi,NA,266891311,Blanus,strauchi,Europe
17,2024,TRUE,FALSE,FALSE,61467,https://www.iucnredlist.org/species/61467/137846721,Anguis cephallonica,LC,137846721,Anguis,cephallonica,Global; Europe; Mediterranean
