Order,Family,Species,IUCN Red List Category (Europe),IUCN Red List Criteria (Europe),IUCN Red List Category (EU 27),IUCN Red List Criteria (EU 27),Endemic to Europe?,Endemic to EU 27?
ANURA,ALYTIDAE,Alytes cisternasii,NT,,NT,,Yes,Yes
ANURA,ALYTIDAE,Alytes dickhilleni,VU,"B2ab (iii,iv)",VU,"B2ab (iii,iv)",Yes,Yes
ANURA,ALYTIDAE,Alytes muletensis,VU,D2,VU,D2,Yes,Yes
ANURA,ALYTIDAE,Alytes obstetricans,LC,,LC,,Yes,
ANURA,ALYTIDAE,Discoglossus galganoi,LC,,LC,,Yes,Yes
ANURA,ALYTIDAE,Discoglossus jeanneae,NT,,NT,,Yes,Yes
ANURA,ALYTIDAE,Discoglossus montalentii,NT,,NT,,Yes,Yes
ANURA,ALYTIDAE,Discoglossus pictus,LC,,LC,,,
ANURA,ALYTIDAE,Discoglossus sardus,LC,,LC,,Yes,Yes
ANURA,BOMBINATORIDAE,Bombina bombina,LC,,LC,,,
ANURA,BOMBINATORIDAE,Bombina pachypus,EN,A2ce,EN,A2ce,Yes,Yes
ANURA,BOMBINATORIDAE,Bombina variegata,LC,,LC,,Yes,
ANURA,BUFONIDAE,Bufo bufo,LC,,LC,,,
ANURA,BUFONIDAE,Bufo mauritanicus,NA,,NA,,,
ANURA,BUFONIDAE,Epidalea calamita,LC,,LC,,Yes,
ANURA,BUFONIDAE,Pseudepidalea balearica,LC,,LC,,Yes,Yes
ANURA,BUFONIDAE,Pseudepidalea boulengeri,NA,,NA,,,
ANURA,BUFONIDAE,Pseudepidalea sicula,LC,,LC,,Yes,Yes
ANURA,BUFONIDAE,Pseudepidalea variabilis,DD,,DD,,,
ANURA,BUFONIDAE,Pseudepidalea viridis,LC,,LC,,,
ANURA,HYLIDAE,Hyla arborea,LC,,LC,,,
ANURA,HYLIDAE,Hyla intermedia,LC,,LC,,Yes,Yes
ANURA,HYLIDAE,Hyla meridionalis,LC,,LC,,,
ANURA,HYLIDAE,Hyla sarda,LC,,LC,,Yes,Yes
ANURA,HYLIDAE,Hyla savignyi,LC,,LC,,,
ANURA,PELOBATIDAE,Pelobates cultripes,NT,,NT,,Yes,Yes
ANURA,PELOBATIDAE,Pelobates fuscus,LC,,LC,,,
ANURA,PELOBATIDAE,Pelobates syriacus,LC,,NT,,,
ANURA,PELODYTIDAE,Pelodytes ibericus,LC,,LC,,Yes,Yes
ANURA,PELODYTIDAE,Pelodytes punctatus,LC,,LC,,Yes,Yes
ANURA,PIPIDAE,Xenopus laevis,NA,,NA,,,
ANURA,RANIDAE,Lithobates catesbeianus,NA,,NA,,,
ANURA,RANIDAE,Pelophylax bedriagae,LC,,LC,,,
ANURA,RANIDAE,Pelophylax bergeri,LC,,LC,,Yes,Yes
ANURA,RANIDAE,Pelophylax cerigensis,CR,B1ab(iii) +2ab(iii),CR,B1ab(iii) +2ab(iii),Yes,Yes
ANURA,RANIDAE,Pelophylax cretensis,EN,B1ab(iii) +2ab(iii),EN,B1ab(iii) +2ab(iii),Yes,Yes
ANURA,RANIDAE,Pelophylax epeiroticus,VU,B1ab(iii),VU,B1ab(iii),Yes,
ANURA,RANIDAE,Pelophylax esculentus,LC,,LC,,Yes,
ANURA,RANIDAE,Pelophylax grafi,NT,,NT,,Yes,Yes
ANURA,RANIDAE,Pelophylax hispanicus,LC,,LC,,Yes,Yes
ANURA,RANIDAE,Pelophylax kurtmuelleri,LC,,LC,,Yes,
ANURA,RANIDAE,Pelophylax lessonae,LC,,LC,,Yes,
ANURA,RANIDAE,Pelophylax perezi,LC,,LC,,Yes,Yes
ANURA,RANIDAE,Pelophylax ridibundus,LC,,LC,,,
ANURA,RANIDAE,Pelophylax saharicus,NA,,NA,,,
ANURA,RANIDAE,Pelophylax shqipericus,EN,B1ab(iii),NE,(does not occur in EU),Yes,
ANURA,RANIDAE,Rana arvalis,LC,,LC,,,
ANURA,RANIDAE,Rana dalmatina,LC,,LC,,,
ANURA,RANIDAE,Rana graeca,LC,,LC,,Yes,
ANURA,RANIDAE,Rana iberica,NT,,NT,,Yes,Yes
ANURA,RANIDAE,Rana italica,LC,,LC,,Yes,Yes
ANURA,RANIDAE,Rana latastei,VU,B2ab(iii),VU,B2ab(iii),Yes,
ANURA,RANIDAE,Rana pyrenaica,EN,"B1ab (ii,iii,iv)",EN,"B1ab (ii,iii,iv)",Yes,Yes
ANURA,RANIDAE,Rana temporaria,LC,,LC,,,
CAUDATA,PLETHODONTIDAE,Atylodes genei,VU,B1ab(iii),VU,B1ab(iii),Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes ambrosii,NT,,NT,,Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes flavus,VU,D2,VU,D2,Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes imperialis,NT,,NT,,Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes italicus,NT,,NT,,Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes sarrabusensis,VU,D2,VU,D2,Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes strinatii,NT,,NT,,Yes,Yes
CAUDATA,PLETHODONTIDAE,Speleomantes supramontis,EN,"B1ab(iii,v)",EN,"B1ab(iii,v)",Yes,Yes
CAUDATA,PROTEIDAE,Proteus anguinus,VU,"B2ab(ii,iii,v)",VU,"B2ab(ii,iii,v)",Yes,
CAUDATA,SALAMANDRIDAE,Calotriton arnoldi,CR,"B2ab(iii,iv)",CR,"B2ab(iii,iv)",Yes,Yes
CAUDATA,SALAMANDRIDAE,Calotriton asper,NT,,NT,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Chioglossa lusitanica,VU,"B2ab(ii,iii,iv)",VU,"B2ab(ii,iii,iv)",Yes,Yes
CAUDATA,SALAMANDRIDAE,Euproctus montanus,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Euproctus platycephalus,EN,"B2ab(iii,iv)",EN,"B2ab(iii,iv)",Yes,Yes
CAUDATA,SALAMANDRIDAE,Lissotriton boscai,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Lissotriton helveticus,LC,,LC,,Yes,
CAUDATA,SALAMANDRIDAE,Lissotriton italicus,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Lissotriton montandoni,LC,,LC,,Yes,
CAUDATA,SALAMANDRIDAE,Lissotriton vulgaris,LC,,LC,,,
CAUDATA,SALAMANDRIDAE,Lyciasalamandra helverseni,VU,D2,VU,D2,Yes,Yes
CAUDATA,SALAMANDRIDAE,Lyciasalamandra luschani,NA,,NE,(does not occur in EU),,
CAUDATA,SALAMANDRIDAE,Mesotriton alpestris,LC,,LC,,Yes,
CAUDATA,SALAMANDRIDAE,Pleurodeles waltl,NT,,NT,,,
CAUDATA,SALAMANDRIDAE,Salamandra atra,LC,,LC,,Yes,
CAUDATA,SALAMANDRIDAE,Salamandra corsica,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Salamandra lanzai,VU,D2,VU,D2,Yes,Yes
CAUDATA,SALAMANDRIDAE,Salamandra salamandra,LC,,LC,,Yes,
CAUDATA,SALAMANDRIDAE,Salamandrina perspicillata,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Salamandrina terdigitata,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Triturus carnifex,LC,,LC,,Yes,
CAUDATA,SALAMANDRIDAE,Triturus cristatus,LC,,LC,,,
CAUDATA,SALAMANDRIDAE,Triturus dobrogicus,NT,,NT,,Yes,
CAUDATA,SALAMANDRIDAE,Triturus karelinii,LC,,LC,,,
CAUDATA,SALAMANDRIDAE,Triturus marmoratus,LC,,LC,,Yes,Yes
CAUDATA,SALAMANDRIDAE,Triturus pygmaeus,NT,,NT,,Yes,Yes
