genus,species,coding,note,,,,adoption?,adoption as,,,,
Alytes,almogavarii,,früher subspecies Alytes obstetricans almogavarii,,,,,,,,,- adopted to the list as new species
Bufo,spinosus,,früher subspecies Bufo bufo,,,,,,,,,- adopted to the list as other species
Bufotes,boulengeri,,Pseudepidalea boulengeri,,,,,,,,,- not adopted to the list
Bufotes,cypriensis,,bis 2019 in Bufotes viridis,,,,,,,,example,- adopted species instead
Bufotes,viridis,,Pseudepidalea viridis,,,,,,,,example,- adopted species instead already in reptiles_missing_species2020
Hyla,molleri,,früher subspecies Hyla arborea molleri,,,,,,,,example,- adopted species instead already in reptiles_only_species
Hyla,orientalis,,früher subspecies Hyla arborea orientalis,,,,,,,,example,- according to European Red List of Reptiles from 2009:
Ichthyosaura,alpestris,,Mesotriton alpestris,,,,,,,,,
Lissotriton,graecus,,"früher subspecies Triturus/Triton vulgaris graeca (auch keine Aufnahme 2009, nur ab 2022)",,,,,,,,,
Lissotriton,maltzani,,"oder Synonym Triton maltzani (auch keine Aufnahme 2009, nur ab 2022)",,,,,,,,,
Ommatotriton,ophryticus,,"früher subspecies Ommatotriton vittatus ophryticus (auch keine Aufnahme 2009, nur ab 2022)",,,,,,,,,
Pelobates,balcanicus,,früher subspecies Pelobates syriaus balanicus,,,,,,,,,
Pelobates,vespertinus,,früher subspecies Pelobates fuscus vespertinus,,,,,,,,,
Pelodytes,atlanticus,,split from Pelodytes punctatus,,,,,,,,,
Pelodytes,caucasicus,,wurde 2009 erhoben,Kaukasus & Türkei,,,,,,,,
Rana,macrocnemis,,früher subspecies Rana temporaria ,,,,,,,,,
Rana,parvipalmata,,früher subspecies Rana temporaria parvilpalmata,,,,,,,,,
Salamandrella,keyserlingii,,latest data from 2024,,,,,,,,,
Triturus,ivanbureschi,,früher subspecies Triturus karelinii arntzeni,,,,,,,,,
Triturus,macedonicus,,früher subspecies Triturus karelinii arntzeni,,,,,,,,,
