genus,species
Alytes,cisternasii
Alytes,dickhilleni
Alytes,muletensis
Alytes,obstetricans
Discoglossus,galganoi
Discoglossus,jeanneae
Discoglossus,montalentii
Discoglossus,pictus
Discoglossus,sardus
Bombina,bombina
Bombina,pachypus
Bombina,variegata
Bufo,bufo
Bufo,mauritanicus
Epidalea,calamita
Pseudepidalea,balearica
Pseudepidalea,boulengeri
Pseudepidalea,sicula
Pseudepidalea,variabilis
Pseudepidalea,viridis
Hyla,arborea
Hyla,intermedia
Hyla,meridionalis
Hyla,sarda
Hyla,savignyi
Pelobates,cultripes
Pelobates,fuscus
Pelobates,syriacus
Pelodytes,ibericus
Pelodytes,punctatus
Xenopus,laevis
Lithobates,catesbeianus
Pelophylax,bedriagae
Pelophylax,bergeri
Pelophylax,cerigensis
Pelophylax,cretensis
Pelophylax,epeiroticus
Pelophylax,esculentus
Pelophylax,grafi
Pelophylax,hispanicus
Pelophylax,kurtmuelleri
Pelophylax,lessonae
Pelophylax,perezi
Pelophylax,ridibundus
Pelophylax,saharicus
Pelophylax,shqipericus
Rana,arvalis
Rana,dalmatina
Rana,graeca
Rana,iberica
Rana,italica
Rana,latastei
Rana,pyrenaica
Rana,temporaria
Atylodes,genei
Speleomantes,ambrosii
Speleomantes,flavus
Speleomantes,imperialis
Speleomantes,italicus
Speleomantes,sarrabusensis
Speleomantes,strinatii
Speleomantes,supramontis
Proteus,anguinus
Calotriton,arnoldi
Calotriton,asper
Chioglossa,lusitanica
Euproctus,montanus
Euproctus,platycephalus
Lissotriton,boscai
Lissotriton,helveticus
Lissotriton,italicus
Lissotriton,montandoni
Lissotriton,vulgaris
Lyciasalamandra,helverseni
Lyciasalamandra,luschani
Mesotriton,alpestris
Pleurodeles,waltl
Salamandra,atra
Salamandra,corsica
Salamandra,lanzai
Salamandra,salamandra
Salamandrina,perspicillata
Salamandrina,terdigitata
Triturus,carnifex
Triturus,cristatus
Triturus,dobrogicus
Triturus,karelinii
Triturus,marmoratus
Triturus,pygmaeus
