Order,Family,Species,IUCN Red List Category (Europe),IUCN Red List Criteria (Europe),IUCN Red List Category (EU 27),IUCN Red List Criteria (EU 27),Endemic to Europe?,Endemic to EU 27?
SQUAMATA,AGAMIDAE,Laudakia stellio,LC,,LC,,,
SQUAMATA,AGAMIDAE,Phrynocephalus guttatus,LC,,NE,,,
SQUAMATA,AGAMIDAE,Phrynocephalus helioscopus,LC,,NE,,,
SQUAMATA,AGAMIDAE,Phrynocephalus mystaceus,LC,,NE,,,
SQUAMATA,AMPHISBAENIDAE,Blanus cinereus,LC,,LC,,Yes,Yes
SQUAMATA,AMPHISBAENIDAE,Blanus strauchi,NA,,NA,,,
SQUAMATA,ANGUIDAE,Anguis cephalonnica,NT,,NT,,Yes,Yes
SQUAMATA,ANGUIDAE,Anguis fragilis,LC,,LC,,,
SQUAMATA,ANGUIDAE,Pseudopus apodus,LC,,LC,,,
SQUAMATA,BOIDAE,Eryx jaculus,LC,,LC,,,
SQUAMATA,BOIDAE,Eryx miliaris,LC,,NE,,,
SQUAMATA,CHAMAELEONIDAE,Chamaeleo africanus,NA,,NA,,,
SQUAMATA,CHAMAELEONIDAE,Chamaeleo chamaeleon,NA,,NA,,,
SQUAMATA,COLUBRIDAE,Coronella austriaca,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Coronella girondica,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Dolichophis caspius,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Dolichophis jugularis,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Eirenis modestus,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Elaphe dione,LC,,NE,,,
SQUAMATA,COLUBRIDAE,Elaphe quatuorlineata,NT,,NT,,Yes,
SQUAMATA,COLUBRIDAE,Elaphe sauromates,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Hemorrhois hippocrepis,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Hemorrhois nummifer,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Hemorrhois ravergieri,NA,,NA,,,
SQUAMATA,COLUBRIDAE,Hierophis cypriensis,EN,B1ab(iii),EN,B1ab(iii),Yes,Yes
SQUAMATA,COLUBRIDAE,Hierophis gemonensis,LC,,LC,,Yes,
SQUAMATA,COLUBRIDAE,Hierophis viridiflavus,LC,,LC,,Yes,
SQUAMATA,COLUBRIDAE,Macroprotodon brevis,NT,,NT,,,
SQUAMATA,COLUBRIDAE,Macroprotodon cucullatus,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Malpolon insignitus,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Malpolon monspessulanus,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Natrix maura,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Natrix natrix,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Natrix tessellata,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Platyceps collaris,LC,,NA,,,
SQUAMATA,COLUBRIDAE,Platyceps najadum,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Rhinechis scalaris,LC,,LC,,Yes,Yes
SQUAMATA,COLUBRIDAE,Telescopus fallax,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Zamenis hohenackeri,NE,,NE,,,
SQUAMATA,COLUBRIDAE,Zamenis lineatus,DD,,DD,,Yes,Yes
SQUAMATA,COLUBRIDAE,Zamenis longissimus,LC,,LC,,,
SQUAMATA,COLUBRIDAE,Zamenis situla,LC,,LC,,,
SQUAMATA,GEKKONIDAE,Alsophylax pipiens,NA,,NE,,,
SQUAMATA,GEKKONIDAE,Cyrtopodion caspius,NA,,NE,,,
SQUAMATA,GEKKONIDAE,Cyrtopodion kotschyi,LC,,LC,,,
SQUAMATA,GEKKONIDAE,Euleptes europaea,NT,,NT,,,
SQUAMATA,GEKKONIDAE,Hemidactylus turcicus,LC,,LC,,,
SQUAMATA,GEKKONIDAE,Saurodactylus mauritanicus,NA,,NA,,,
SQUAMATA,GEKKONIDAE,Tarentola angustimentalis,LC,,LC,,Yes,Yes
SQUAMATA,GEKKONIDAE,Tarentola boettgeri,LC,,LC,,Yes,Yes
SQUAMATA,GEKKONIDAE,Tarentola delalandii,LC,,LC,,Yes,Yes
SQUAMATA,GEKKONIDAE,Tarentola gomerensis,LC,,LC,,Yes,Yes
SQUAMATA,GEKKONIDAE,Tarentola mauritanica,LC,,LC,,,
SQUAMATA,LACERTIDAE,Acanthodactylus erythrurus,LC,,LC,,,
SQUAMATA,LACERTIDAE,Acanthodactylus schreiberi,EN,"B2ab (i,ii,iii,iv)",EN,"B2ab (i,ii,iii,iv)",,
SQUAMATA,LACERTIDAE,Algyroides fitzingeri,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Algyroides marchi,EN,"B1ab(iii,iv) +2ab(iii,iv)",EN,"B1ab(iii,iv) +2ab(iii,iv)",Yes,Yes
SQUAMATA,LACERTIDAE,Algyroides moreoticus,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Algyroides nigropunctatus,LC,,LC,,Yes,
SQUAMATA,LACERTIDAE,Anatololacerta anatolica,NA,,NA,,,
SQUAMATA,LACERTIDAE,Anatololacerta oertzeni,LC,,LC,,,
SQUAMATA,LACERTIDAE,Archaeolacerta bedriagae,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Dalmatolacerta oxycephala,LC,,NE,,Yes,
SQUAMATA,LACERTIDAE,Darevskia praticola,NT,,NT,,,
SQUAMATA,LACERTIDAE,Dinarolacerta mosorensis,VU,B2ab(iii),NE,B2ab(iii),Yes,
SQUAMATA,LACERTIDAE,Eremias arguta,NT,,VU,B2ab(iii),,
SQUAMATA,LACERTIDAE,Eremias velox,LC,,NE,,,
SQUAMATA,LACERTIDAE,Gallotia atlantica,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia auaritae,CR,D,CR,D,Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia bravoana,CR,D,CR,D,Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia caesaris,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia galloti,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia intermedia,CR,B1ab(v) +2ab(v),CR,B1ab(v) +2ab(v),Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia simonyi,CR,B1ab(v) +2ab(v),CR,B1ab(v) +2ab(v),Yes,Yes
SQUAMATA,LACERTIDAE,Gallotia stehlini,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Hellenolacerta graeca,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta aranica,EN,B1ab(iii),EN,B1ab(iii),Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta aurelioi,EN,,EN,,Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta bonnali,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta cyreni,EN,B1ab(iii),EN,B1ab(iii),Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta galani,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta horvathi,NT,,NT,,Yes,
SQUAMATA,LACERTIDAE,Iberolacerta martinezricai,CR,B2ab(v); C2a(ii),CR,B2ab(v); C2a(ii),Yes,Yes
SQUAMATA,LACERTIDAE,Iberolacerta monticola,VU,B1ab(iii),VU,B1ab(iii),Yes,Yes
SQUAMATA,LACERTIDAE,Lacerta agilis,LC,,LC,,,
SQUAMATA,LACERTIDAE,Lacerta bilineata,LC,,LC,,Yes,
SQUAMATA,LACERTIDAE,Lacerta schreiberi,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Lacerta strigata,LC,,NE,,,
SQUAMATA,LACERTIDAE,Lacerta trilineata,LC,,LC,,,
SQUAMATA,LACERTIDAE,Lacerta viridis,LC,,LC,,,
SQUAMATA,LACERTIDAE,Ophisops elegans,LC,,LC,,,
SQUAMATA,LACERTIDAE,Phoenicolacerta troodica,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis bocagei,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis carbonelli,EN,"B1ab (i,ii,iii,iv,v)",EN,"B1ab (i,ii,iii,iv,v)",Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis cretensis,EN,B1ab(iii),EN,B1ab(iii),Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis erhardii,LC,,LC,,Yes,
SQUAMATA,LACERTIDAE,Podarcis filfolensis,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis gaigeae,VU,D2,VU,D2,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis hispanicus,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis levendis,VU,D2,VU,D2,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis lilfordi,EN,B1ab(ii) +2ab(iii),EN,B1ab(ii) +2ab(iii),Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis melisellensis,LC,,LC,,Yes,
SQUAMATA,LACERTIDAE,Podarcis milensis,VU,D2,VU,D2,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis muralis,LC,,LC,,,
SQUAMATA,LACERTIDAE,Podarcis peloponnesiacus,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis pityusensis,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis raffonei,CR,B1ab(v) +2ab(v),CR,B1ab(v) +2ab(v),Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis siculus,LC,,LC,,,
SQUAMATA,LACERTIDAE,Podarcis tauricus,LC,,LC,,,
SQUAMATA,LACERTIDAE,Podarcis tiliguerta,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Podarcis vaucheri,LC,,LC,,,
SQUAMATA,LACERTIDAE,Podarcis waglerianus,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Psammodromus blanci,NE,,NA,,,
SQUAMATA,LACERTIDAE,Psammodromus hispanicus,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Psammodromus jeanneae,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Psammodromus manuelae,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Scelarcis perspicillata,NA,,NA,,,
SQUAMATA,LACERTIDAE,Teira dugesii,LC,,LC,,Yes,Yes
SQUAMATA,LACERTIDAE,Timon lepidus,NT,,NT,,Yes,Yes
SQUAMATA,LACERTIDAE,Timon tangitanus,NE,,NA,,,
SQUAMATA,LACERTIDAE,Zootoca vivipara,LC,,LC,,,
SQUAMATA,SCINCIDAE,Ablepharus budaki,LC,,LC,,,
SQUAMATA,SCINCIDAE,Ablepharus kitaibelii,LC,,LC,,,
SQUAMATA,SCINCIDAE,Chalcides bedriagai,NT,,NT,,Yes,Yes
SQUAMATA,SCINCIDAE,Chalcides chalcides,LC,,LC,,,
SQUAMATA,SCINCIDAE,Chalcides ocellatus,LC,,LC,,,
