genus,species,coding,note,,,,adoption?,adoption as,,,,
Anatololacerta,budaki,,"war zwischenzeitlich eigene Art, mittlerweile zu Anatololacerta finikensis (data not applicable) und A. pelasgiana zugeordnet",,,,,Anatololacerta finikensis & Anatololaerta pelasgiana,,,,- adopted to the list as new species
Anatololacerta,pelasgiana,,elevated subspecies A. oertzeni pelasgiana since 2015,,,,,,,,,- adopted to the list as other species
Anguis,graeca,,elevated subspecies from Anguis fragilis since 2010,,,,,,,,,- not adopted to the list
Anguis,veronensis,,elevated subspecies from Anguis fragilis since 2010,,,,,,,,example,- adopted species instead
Blanus,rufus,,one of two distinct lineages of B. cinereus – still under investigation,,,,,Blanus cinereus,,,example,- adopted species instead already in reptiles_missing_species2020
Caretta,caretta,,sea turtle,,,,,,,,example,- adopted species instead already in reptiles_only_species
Chalcides,coeruleopunctatus,,elevated subspecies C. viridanus coeruleopunctatus,,,,,,,,example,- according to European Red List of Reptiles from 2009:
Chelonia,mydas,,sea turtle,,,,,,,,,
Darevskia,armeniaca,,former in genus Lacerta [armeniaca]– only small area in europe (Ukraine) – L. armeniaca also not included 2009 – latest data not applicable,Kaukasus,,,,,,,,
Darevskia,dahli,,former subspecies Lacerta saxicola dahli – only small area in europe (Ukraine) – data not appliable,Kaukasus,,,,,,,,
Darevskia,alpina,,former subspecies Lacerta caucasica alpina – Lacerta c. also not included 2009  list – latest data VU in 2009,Kaukasus,,,,,,,,
Darevskia,brauneri,,latest data LC in 2009,Kaukasus,,,,,,,,
Darevskia,caucasica,,latest data LC in 2009,Kaukasus,,,,,,,,
Darevskia,daghestanica,,former subspecies Lacerta caucasica daghestanica – Lacerta c. also not included 2009 list – latest data LC in 2009,Kaukasus,,,,,,,,
Darevskia,derjugini,,latest data NT in 2009,Kaukasus,,,,,,,,
Darevskia,lindholmi,,"first data in 2021, latest data LC in 2024",Krim,,,,,,,,
Darevskia,rudis,,latest data LC in 2009,Kaukasus & Türkei,,,,,,,,
Darevskia,saxicola,,latest data LC in 2010,Kaukasus,,,,,,,,
Dermochelys ,coriacea,,sea turtle,,,,,,,,,
Dinarolacerta,montenegrina,,"first data in 2011, latest data NT in 2024",,,,,,,,,
Dolichophis,schmidti,,"first data in 2009, latest data LC in 2017 ","Kaukasus, Türkei, Iran",,,,,,,,
Eirenis,collaris,,latest data LC in 2009,"Kaukasus, Naher Osten",,,,,,,,
Eirenis,levantinus,,only small area in europe (Cyprus) – latest data DD in 2024,,,,,,,,,
Elaphe,schrenckii,,only small area in europe (Netherlands) – latest data NA in 2024,,,,,,,,,
Elaphe,urartica,,nicht in IUCN Red List databank available,"Kaukasus, Türkei, Iran",,,,,,,,
Eretmochelys,imbricata,,sea turtle,,,,,,,,,
Hemorrhois,algirus,,only small area in europe (Malta) – first / latest data NA in 2024,,,,,,,,,
Heremites,auratus,,Trachylepis aurata,,,,,Heremites auratus,,,,
Heremites,vittatus,,Trachylepis vittata,,,,,Heremites vittatus,,,,
Indotyphlops,braminus,,only small area in europe (Canary Islands) – first / latest data NA in 2024 ,,,,,,,,,
Lacerta,citrovittata,,elevated subspecies Lacerta trilineata citrovattata,,,,,,,,,
Lacerta,diplochondrodes,,elevated subspecies Lacerta trilineata diplocchondrodes,,,,,,,,,
Lacerta ,media,,elevated subspecies Lacerta trilineata media / Lacerta viridis media,,,,,,,,,
Lampropeltis,getula,,"nur in Nordamerika heimisch, evtl. Lampropeltis californiae (früher Lampropeltis getula californiae) – only small area in europe (Canary Islands)",,,,,Lampropeltis californiae,,,,
