genus,species
Laudakia,stellio
Phrynocephalus,guttatus
Phrynocephalus,helioscopus
Phrynocephalus,mystaceus
Blanus,cinereus
Blanus,strauchi
Anguis,cephalonnica
Anguis,fragilis
Pseudopus,apodus
Eryx,jaculus
Eryx,miliaris
Chamaeleo,africanus
Chamaeleo,chamaeleon
Coronella,austriaca
Coronella,girondica
Dolichophis,caspius
Dolichophis,jugularis
Eirenis,modestus
Elaphe,dione
Elaphe,quatuorlineata
Elaphe,sauromates
Hemorrhois,hippocrepis
Hemorrhois,nummifer
Hemorrhois,ravergieri
Hierophis,cypriensis
Hierophis,gemonensis
Hierophis,viridiflavus
Macroprotodon,brevis
Macroprotodon,cucullatus
Malpolon,insignitus
Malpolon,monspessulanus
Natrix,maura
Natrix,natrix
Natrix,tessellata
Platyceps,collaris
Platyceps,najadum
Rhinechis,scalaris
Telescopus,fallax
Zamenis,hohenackeri
Zamenis,lineatus
Zamenis,longissimus
Zamenis,situla
Alsophylax,pipiens
Cyrtopodion,caspius
Cyrtopodion,kotschyi
Euleptes,europaea
Hemidactylus,turcicus
Saurodactylus,mauritanicus
Tarentola,angustimentalis
Tarentola,boettgeri
Tarentola,delalandii
Tarentola,gomerensis
Tarentola,mauritanica
Acanthodactylus,erythrurus
Acanthodactylus,schreiberi
Algyroides,fitzingeri
Algyroides,marchi
Algyroides,moreoticus
Algyroides,nigropunctatus
Anatololacerta,anatolica
Anatololacerta,oertzeni
Archaeolacerta,bedriagae
Dalmatolacerta,oxycephala
Darevskia,praticola
Dinarolacerta,mosorensis
Eremias,arguta
Eremias,velox
Gallotia,atlantica
Gallotia,auaritae
Gallotia,bravoana
Gallotia,caesaris
Gallotia,galloti
Gallotia,intermedia
Gallotia,simonyi
Gallotia,stehlini
Hellenolacerta,graeca
Iberolacerta,aranica
Iberolacerta,aurelioi
Iberolacerta,bonnali
Iberolacerta,cyreni
Iberolacerta,galani
Iberolacerta,horvathi
Iberolacerta,martinezricai
Iberolacerta,monticola
Lacerta,agilis
Lacerta,bilineata
Lacerta,schreiberi
Lacerta,strigata
Lacerta,trilineata
Lacerta,viridis
Ophisops,elegans
Phoenicolacerta,troodica
Podarcis,bocagei
Podarcis,carbonelli
Podarcis,cretensis
Podarcis,erhardii
Podarcis,filfolensis
Podarcis,gaigeae
Podarcis,hispanicus
Podarcis,levendis
Podarcis,lilfordi
Podarcis,melisellensis
Podarcis,milensis
Podarcis,muralis
Podarcis,peloponnesiacus
Podarcis,pityusensis
Podarcis,raffonei
Podarcis,siculus
Podarcis,tauricus
Podarcis,tiliguerta
Podarcis,vaucheri
Podarcis,waglerianus
Psammodromus,blanci
Psammodromus,hispanicus
Psammodromus,jeanneae
Psammodromus,manuelae
Scelarcis,perspicillata
Teira,dugesii
Timon,lepidus
Timon,tangitanus
Zootoca,vivipara
Ablepharus,budaki
Ablepharus,kitaibelii
Chalcides,bedriagai
Chalcides,chalcides
Chalcides,ocellatus
Chalcides,parallelus
Chalcides,sexlineatus
Chalcides,simonyi
Chalcides,striatus
Chalcides,viridanus
Eumeces,schneideri
Ophiomorus,punctatissimus
Trachylepis,aurata
Trachylepis,vittata
Trogonophis,wiegmanni
Typhlops,vermicularis
Gloydius,halys
Macrovipera,lebetina
Macrovipera,schweizeri
Montivipera,xanthina
Vipera,ammodytes
Vipera,aspis
Vipera,berus
Vipera,latastei
Vipera,renardi
Vipera,seoanei
Vipera,ursinii
Emys,orbicularis
Emys,trinacris
Mauremys,leprosa
Mauremys,rivulata
Testudo,graeca
Testudo,hermanni
Testudo,marginata
Trionyx,triunguis
